0.7120000000000005 [0.04, 0.16] 4 16
0.6950000000000005 [0.04, 0.17] 4 17
0.9400000000000007 [0.04, 0.18] 4 18
4.783999999999932 [0.04, 0.19] 4 19
0.45400000000000035 [0.04, 0.2] 4 20
0.7080000000000005 [0.04, 0.21] 4 21
0.8310000000000006 [0.04, 0.22] 4 22
7.493000000000837 [0.04, 0.23] 4 23
1.4339999999999529 [0.04, 0.24] 4 24
2.7819999999998046 [0.04, 0.25] 4 25
6.627000000000548 [0.04, 0.26] 4 26
1.3659999999999604 [0.04, 0.27] 4 27
1.9789999999998928 [0.04, 0.28] 4 28
1.1129999999999882 [0.04, 0.29] 4 29
7.045000000000687 [0.04, 0.3] 4 30
1.1629999999999827 [0.04, 0.31] 4 31
20.00000000000146 [0.04, 0.32] 4 32
3.593999999999715 [0.04, 0.33] 4 33
1.0709999999999928 [0.04, 0.34] 4 34
0.8880000000000007 [0.04, 0.35] 4 35
0.8030000000000006 [0.04, 0.36] 4 36
0.7440000000000005 [0.04, 0.37] 4 37
0.6980000000000005 [0.04, 0.38] 4 38
0.6660000000000005 [0.04, 0.39] 4 39
0.6570000000000005 [0.04, 0.4] 4 40
0.6930000000000005 [0.04, 0.41] 4 41
0.7900000000000006 [0.04, 0.42] 4 42
1.0849999999999913 [0.04, 0.43] 4 43
0.9130000000000007 [0.04, 0.44] 4 44
0.5680000000000004 [0.04, 0.45] 4 45
0.8520000000000006 [0.04, 0.46] 4 46
0.7110000000000005 [0.04, 0.47] 4 47
0.7690000000000006 [0.04, 0.48] 4 48
0.7940000000000006 [0.04, 0.49] 4 49
0.9690000000000007 [0.04, 0.5] 4 50
0.7710000000000006 [0.04, 0.51] 4 51
1.1659999999999824 [0.04, 0.52] 4 52
1.2389999999999743 [0.04, 0.53] 4 53
4.010999999999674 [0.04, 0.54] 4 54
4.757999999999924 [0.04, 0.55] 4 55
2.7119999999998123 [0.04, 0.56] 4 56
2.578999999999827 [0.04, 0.57] 4 57
12.911999999998283 [0.04, 0.58] 4 58
20.00000000000146 [0.04, 0.59] 4 59
20.00000000000146 [0.04, 0.6] 4 60
13.45899999999798 [0.04, 0.61] 4 61
10.55399999999959 [0.04, 0.62] 4 62
9.187000000000348 [0.04, 0.63] 4 63
8.373000000000799 [0.04, 0.64] 4 64
7.732000000000917 [0.04, 0.65] 4 65
7.2760000000007645 [0.04, 0.66] 4 66
6.87400000000063 [0.04, 0.67] 4 67
6.558000000000525 [0.04, 0.68] 4 68
6.260000000000425 [0.04, 0.69] 4 69
6.053000000000356 [0.04, 0.7] 4 70
5.845000000000287 [0.04, 0.71] 4 71
5.579000000000198 [0.04, 0.72] 4 72
5.5600000000001915 [0.04, 0.73] 4 73
6.796000000000604 [0.04, 0.74] 4 74
6.1080000000003745 [0.04, 0.75] 4 75
3.339999999999743 [0.04, 0.76] 4 76
1.7079999999999227 [0.04, 0.77] 4 77
1.5159999999999438 [0.04, 0.78] 4 78
0.9940000000000008 [0.04, 0.79] 4 79
0.9800000000000008 [0.04, 0.8] 4 80
1.351999999999962 [0.04, 0.81] 4 81
0.8830000000000007 [0.04, 0.82] 4 82
0.7620000000000006 [0.04, 0.83] 4 83
0.9130000000000007 [0.04, 0.84] 4 84
0.9570000000000007 [0.04, 0.85] 4 85
0.8850000000000007 [0.04, 0.86] 4 86
1.2309999999999752 [0.04, 0.87] 4 87
0.9030000000000007 [0.04, 0.88] 4 88
0.6830000000000005 [0.04, 0.89] 4 89
6.527000000000514 [0.04, 0.9] 4 90
0.8560000000000006 [0.04, 0.91] 4 91
2.6449999999998197 [0.04, 0.92] 4 92
0.9380000000000007 [0.04, 0.93] 4 93
2.4909999999998367 [0.04, 0.94] 4 94
1.2249999999999759 [0.04, 0.95] 4 95
0.9480000000000007 [0.04, 0.96] 4 96
0.8350000000000006 [0.04, 0.97] 4 97
1.55099999999994 [0.04, 0.98] 4 98
0.8480000000000006 [0.04, 0.99] 4 99
0.3010000000000002 [0.05, 0.0] 5 0
0.2640000000000002 [0.05, 0.01] 5 1
0.3800000000000003 [0.05, 0.02] 5 2
3.0099999999997795 [0.05, 0.03] 5 3
0.36900000000000027 [0.05, 0.04] 5 4
0.3160000000000002 [0.05, 0.05] 5 5
0.6050000000000004 [0.05, 0.06] 5 6
0.44400000000000034 [0.05, 0.07] 5 7
0.34400000000000025 [0.05, 0.08] 5 8
0.5920000000000004 [0.05, 0.09] 5 9
0.4210000000000003 [0.05, 0.1] 5 10
1.2319999999999751 [0.05, 0.11] 5 11
0.6250000000000004 [0.05, 0.12] 5 12
0.6070000000000004 [0.05, 0.13] 5 13
0.7620000000000006 [0.05, 0.14] 5 14
2.0299999999998875 [0.05, 0.15] 5 15
0.5840000000000004 [0.05, 0.16] 5 16
1.395999999999957 [0.05, 0.17] 5 17
0.7310000000000005 [0.05, 0.18] 5 18
0.8320000000000006 [0.05, 0.19] 5 19
1.3579999999999612 [0.05, 0.2] 5 20
1.478999999999948 [0.05, 0.21] 5 21
1.286999999999969 [0.05, 0.22] 5 22
2.6939999999998143 [0.05, 0.23] 5 23
1.5659999999999383 [0.05, 0.24] 5 24
3.814999999999691 [0.05, 0.25] 5 25
0.6290000000000004 [0.05, 0.26] 5 26
0.6510000000000005 [0.05, 0.27] 5 27
3.478999999999728 [0.05, 0.28] 5 28
3.8809999999996836 [0.05, 0.29] 5 29
3.1839999999997604 [0.05, 0.3] 5 30
1.73299999999992 [0.05, 0.31] 5 31
1.350999999999962 [0.05, 0.32] 5 32
1.295999999999968 [0.05, 0.33] 5 33
0.9650000000000007 [0.05, 0.34] 5 34
0.8180000000000006 [0.05, 0.35] 5 35
1.7089999999999226 [0.05, 0.36] 5 36
0.7580000000000006 [0.05, 0.37] 5 37
0.7280000000000005 [0.05, 0.38] 5 38
0.9040000000000007 [0.05, 0.39] 5 39
0.9850000000000008 [0.05, 0.4] 5 40
0.7000000000000005 [0.05, 0.41] 5 41
0.6720000000000005 [0.05, 0.42] 5 42
0.9620000000000007 [0.05, 0.43] 5 43
0.7030000000000005 [0.05, 0.44] 5 44
0.6780000000000005 [0.05, 0.45] 5 45
7.2010000000007395 [0.05, 0.46] 5 46
0.5920000000000004 [0.05, 0.47] 5 47
