0.22900000000000018 [-0.48, 0.17] 2 17
0.24000000000000019 [-0.48, 0.18] 2 18
0.23300000000000018 [-0.48, 0.19] 2 19
0.3020000000000002 [-0.48, 0.2] 2 20
0.5000000000000003 [-0.48, 0.21] 2 21
0.34100000000000025 [-0.48, 0.22] 2 22
0.3970000000000003 [-0.48, 0.23] 2 23
0.2720000000000002 [-0.48, 0.24] 2 24
0.7750000000000006 [-0.48, 0.25] 2 25
0.43200000000000033 [-0.48, 0.26] 2 26
0.35300000000000026 [-0.48, 0.27] 2 27
0.33700000000000024 [-0.48, 0.28] 2 28
0.3790000000000003 [-0.48, 0.29] 2 29
0.4900000000000004 [-0.48, 0.3] 2 30
0.2770000000000002 [-0.48, 0.31] 2 31
0.2730000000000002 [-0.48, 0.32] 2 32
0.5050000000000003 [-0.48, 0.33] 2 33
0.2900000000000002 [-0.48, 0.34] 2 34
0.6500000000000005 [-0.48, 0.35] 2 35
0.3750000000000003 [-0.48, 0.36] 2 36
0.2930000000000002 [-0.48, 0.37] 2 37
0.4190000000000003 [-0.48, 0.38] 2 38
0.34200000000000025 [-0.48, 0.39] 2 39
0.31900000000000023 [-0.48, 0.4] 2 40
0.3850000000000003 [-0.48, 0.41] 2 41
0.3180000000000002 [-0.48, 0.42] 2 42
0.43500000000000033 [-0.48, 0.43] 2 43
0.8400000000000006 [-0.48, 0.44] 2 44
0.33300000000000024 [-0.48, 0.45] 2 45
0.5660000000000004 [-0.48, 0.46] 2 46
0.34400000000000025 [-0.48, 0.47] 2 47
0.8050000000000006 [-0.48, 0.48] 2 48
0.44900000000000034 [-0.48, 0.49] 2 49
0.35900000000000026 [-0.48, 0.5] 2 50
0.8170000000000006 [-0.48, 0.51] 2 51
0.5700000000000004 [-0.48, 0.52] 2 52
0.9890000000000008 [-0.48, 0.53] 2 53
0.9910000000000008 [-0.48, 0.54] 2 54
0.4970000000000004 [-0.48, 0.55] 2 55
0.9670000000000007 [-0.48, 0.56] 2 56
0.4040000000000003 [-0.48, 0.57] 2 57
0.47800000000000037 [-0.48, 0.58] 2 58
0.7160000000000005 [-0.48, 0.59] 2 59
0.4960000000000004 [-0.48, 0.6] 2 60
0.5360000000000004 [-0.48, 0.61] 2 61
0.5650000000000004 [-0.48, 0.62] 2 62
0.5420000000000004 [-0.48, 0.63] 2 63
0.5660000000000004 [-0.48, 0.64] 2 64
0.7040000000000005 [-0.48, 0.65] 2 65
0.4970000000000004 [-0.48, 0.66] 2 66
0.5280000000000004 [-0.48, 0.67] 2 67
0.7770000000000006 [-0.48, 0.68] 2 68
0.7430000000000005 [-0.48, 0.69] 2 69
0.6420000000000005 [-0.48, 0.7] 2 70
0.5990000000000004 [-0.48, 0.71] 2 71
0.5870000000000004 [-0.48, 0.72] 2 72
0.6000000000000004 [-0.48, 0.73] 2 73
0.6410000000000005 [-0.48, 0.74] 2 74
0.7180000000000005 [-0.48, 0.75] 2 75
0.9340000000000007 [-0.48, 0.76] 2 76
0.7860000000000006 [-0.48, 0.77] 2 77
0.5450000000000004 [-0.48, 0.78] 2 78
0.6290000000000004 [-0.48, 0.79] 2 79
0.9240000000000007 [-0.48, 0.8] 2 80
0.6120000000000004 [-0.48, 0.81] 2 81
0.6710000000000005 [-0.48, 0.82] 2 82
0.6720000000000005 [-0.48, 0.83] 2 83
0.6230000000000004 [-0.48, 0.84] 2 84
0.8030000000000006 [-0.48, 0.85] 2 85
0.6500000000000005 [-0.48, 0.86] 2 86
1.09599999999999 [-0.48, 0.87] 2 87
0.7620000000000006 [-0.48, 0.88] 2 88
0.6190000000000004 [-0.48, 0.89] 2 89
0.6510000000000005 [-0.48, 0.9] 2 90
0.7870000000000006 [-0.48, 0.91] 2 91
0.6540000000000005 [-0.48, 0.92] 2 92
0.7310000000000005 [-0.48, 0.93] 2 93
0.9560000000000007 [-0.48, 0.94] 2 94
0.9300000000000007 [-0.48, 0.95] 2 95
0.8110000000000006 [-0.48, 0.96] 2 96
